eventID,station_name,origin_time,start_time,channel_name,network,sta_longitude,sta_latitude,sta_depth,ev_longitude,ev_latitude,ev_depth,E_P_idx,N_P_idx,Z_P_idx,E_shift(s),N_shift(s),Z_shift(s),sampling_rate,Z_npts,N_npts,E_npts,Z_factor,N_factor,E_factor,epi_dist,hypo_dist,magnitude
13010321.P18,TW.EYUL.00.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(1/2),CWBSN,121.31909942626953,23.347200393676758,-0.165,121.24130249023438,22.865299224853516,8.930000305175781,7042,7042,7042,0.0,0.0,0.0,100.0,36001,36001,36001,6.43e-06,6.52e-06,6.48e-06,53.96016995403651,54.721284451478766,3.85
13010321.P18,TW.EYUL.10.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(N/E),CWBSN,121.31909942626953,23.347200393676758,-0.165,121.24130249023438,22.865299224853516,8.930000305175781,7067,7067,7067,0.0,0.0,0.0,100.0,36001,36001,36001,6.41e-06,6.45e-06,6.47e-06,53.96016995403651,54.721284451478766,3.85
13010321.P18,TW.F036.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.647501Z,HLZ(N/E),TSMIP,121.37449645996094,23.497699737548828,-0.109,121.24130249023438,22.865299224853516,8.930000305175781,7269,7269,7269,0.0,0.0,0.0,100.0,36001,36001,36001,2.45e-06,2.45e-06,2.45e-06,71.35147668301062,71.92174046394578,3.85
13010321.P18,TW.F041.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.652499Z,HLZ(N/E),TSMIP,121.30259704589844,23.264799118041992,-0.175,121.24130249023438,22.865299224853516,8.930000305175781,6940,6940,6940,0.0,0.0,0.0,100.0,36001,36001,36001,2.45e-06,2.45e-06,2.45e-06,44.686214189445614,45.60437225905277,3.85
13010321.P18,TW.F042.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.652499Z,HLZ(N/E),TSMIP,121.2645034790039,23.219900131225586,-0.207,121.24130249023438,22.865299224853516,8.930000305175781,6819,6819,6819,0.0,0.0,0.0,100.0,36001,36001,36001,2.45e-06,2.45e-06,2.45e-06,39.34206426889427,40.38914204974636,3.85
13010321.P18,TW.FULB.10.HH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HHZ(N/E),CWBSN,121.29389953613281,23.19860076904297,-0.376,121.24130249023438,22.865299224853516,8.930000305175781,6753,6753,6753,0.0,0.0,0.0,100.0,36001,36001,36001,1.35e-09,1.34e-09,1.34e-09,37.30292149568224,38.44619088795356,3.85
13010321.P18,TW.FULB.11.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),CWBSN,121.29389953613281,23.19860076904297,-0.376,121.24130249023438,22.865299224853516,8.930000305175781,6768,6768,6768,0.0,0.0,0.0,100.0,36001,36001,36001,3.08e-06,3.07e-06,3.08e-06,37.30292149568224,38.44619088795356,3.85
13010321.P18,TW.G020.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.647501Z,HLZ(N/E),TSMIP,121.2146987915039,23.125900268554688,-0.278,121.24130249023438,22.865299224853516,8.930000305175781,6653,6653,6653,0.0,0.0,0.0,100.0,36001,36001,36001,2.45e-06,2.45e-06,2.45e-06,28.988593415794654,30.41588101381202,3.85
13010321.P18,TW.G021.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.652499Z,HLZ(N/E),TSMIP,121.1759033203125,23.101999282836914,-0.307,121.24130249023438,22.865299224853516,8.930000305175781,6555,6555,6555,0.0,0.0,0.0,100.0,36001,36001,36001,2.45e-06,2.45e-06,2.45e-06,27.057175601819758,28.590434172735606,3.85
13010321.P18,TW.G025.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),TSMIP,121.08000183105469,22.902299880981445,-0.247,121.24130249023438,22.865299224853516,8.930000305175781,12733,12733,12733,0.0,0.0,0.0,200.0,72001,72001,72001,3.2e-06,3.22e-06,3.21e-06,17.05074341443787,19.363501377235288,3.85
